Title,Author,Room,Image,1,2,3,audio description,description
Madonna Assunta fra i santi Giovanni Battista e Giorgio,Ferrari Luca detto Luca da Reggio (Reggio Emilia  1599 - Padova  1654),21,011.png,,,,011.mp3,"Nonostante l’alta qualità e la sicura attribuzione, non si conosce nulla circa la genesi e la provenienza di questa pala d’altare. Il tema dell’Assunzione di Maria si svolge alla presenza dei due santi, forse in qualche modo legati alla committenza o alla destinazione originaria del dipinto. I gesti marcati, i precisi orientamenti degli sguardi, la cromia squillante sono tipiche espressioni di Luca Ferrari, che in quegli anni era impegnato nella sua più grande impresa, ovvero l’ultima campagna di affreschi sulle volte della basilica della Ghiara a Reggio Emilia."
Nascita della Vergine,Scarsella Ippolito detto Scarsellino (Ferrara  1550 ca. - 1620),20,012.png,,,,012.mp3,"Poco dopo l’abbandono di Ferrara, il duca Cesare d’Este decise di decorare una cappella dell’antico castello di famiglia di Modena, dedicata alla Natività della Vergine. Vista l’impossibilità di commissionarne le tele a Federico Barocci e poi ad Annibale Carracci e Caravaggio, prime ambiziose scelte, il duca ripiegò su più affidabili maestri locali: Scarsellino, Ercole Dell'Abate e Bartolomeo Schedoni. Ne risultò un trittico (invv. 2, 83, 420) elaborato in maniera non coordinata, ma comunque caratterizzato da una vivace impronta narrativa per le molte figure affaccendate che interpretano le tre storie mariane."
Ritratti ideali di Ubaldo e Marino d'Este,Cervi Bernardino (1586 ca. - Modena  1630),20,013.png,,,,013.mp3,"Sei coppie di ritratti ideali (invv. 2946-2951) presentano in sequenza cronologica personaggi illustri legati alla dinastia estense: da antenati mitici in costume imperiale romano, a figure storiche di eccezionale rilievo come Matilde di Canossa. Il duca Cesare d’Este ne commissionò almeno tredici coppie a Bernardino Cervi e collaboratori per il castello della nuova capitale Modena. È evidente il riferimento ai perduti cicli di ritratti già eseguiti per la dimora estense di Copparo (1545) e il castello di Ferrara (1577)."
Annunciazione,Pittore della Germania meridionale (1450 ca.),8,014.png,Santa Margherita,Santa Dorotea,,014.mp3,"Le quattro tavole erano parte di un polittico dedicato alla Madonna, opera forse eseguita per l'Italia ma estremamente significativa dell'influenza esercitata dalla pittura fiamminga in Germania alla metà del Quattrocento. I dipinti sono stati infatti attribuiti a un artista itinerante, probabilmente originario della Bavaria o dell'Alta Renania, successivamente entrato nella bottega di Van Eyck a Bruges, come dimostrano le figure aristocratiche delle sante e la minuziosa descrizione dell'ambiente domestico dell'Annunciazione."
Adorazione dei Magi,Negretti Jacopo detto Palma il giovane (Venezia  1548 ca. - 1628),19,015.png,,,,015.mp3,"La pala fu commissionata dai mercanti dell’Arte della Seta di Reggio Emilia, e in primo piano l’artista ne ha raffigurati due intenti a imballare delle merci. Nella complessa messa in scena dei Magi giunti da paesi esotici a rendere omaggio a Gesù bambino, spicca il gesto di Maria in adorazione di quest’ultimo: una variazione sul tema dell’iconica “Madonna della Ghiara” cui è intitolato il santuario reggiano, che era stato appena riedificato in forme grandiose e in quegli anni veniva decorato da alcuni dei migliori artisti emiliani."
Presentazione di Gesù al Tempio,Carnevali Domenico (Sassuolo  1524 - Modena  1579),15,016.png,,,,016.mp3,Descrizione non disponibile
Sant'Antonio da Padova,Tura Cosmè (Ferrara  1430 ca. - 1495),4,017.png,,,,017.mp3,"Dipinto per Nicolò di Gurone d’Este, vescovo di Adria, il Sant’Antonio è uno degli ultimi capolavori di Tura, in cui concezione monumentale della figura umana e ricerca prospettica di stampo rinascimentale convivono con un senso della forma di origine ancora medievale. L’immagine scultorea del santo si impone allo sguardo del fedele oltrepassando i limiti della cornice architettonica dipinta e stagliandosi sul fondo del meraviglioso paesaggio marino miniaturizzato, che riverbera la sua luce crepuscolare sui profili della figura e dell’arco."
Compianto sul Cristo morto con i santi Francesco e Bernardino,Cima Giovanni Battista detto Cima da Conegliano (Conegliano  1459 ca. - 1517 ca.),9,018.png,,,,018.mp3,"La piccola pala, commissionata da Alberto III Pio, signore di Carpi, è una delle opere eseguite per l’Emilia da Cima, all’epoca il miglior interprete in pittura di un umanesimo profondamente cristiano. La particolare iconografia del dipinto, incentrata sulla speculare corrispondenza delle figure di Cristo morto e di Maria dolente, si può ricondurre all’ambito veneziano di Aldo Manuzio. Costituisce una rara trasposizione in immagini del tema della compassio, la partecipazione della Vergine alla passione del figlio."
Ritratto d'uomo,Campi Giulio (attr.) (Cremona  1500 ca. - 1572),16,019.png,,,,019.mp3,"Assegnato per la prima volta al Campi dal Berenson, si protese poi per una generica attribuzione a un artista di formazione ferrarese. Pallucchini confrontandolo con il Ritratto di Bartolomeo Arese conservato allora presso la collezione Radlinski di Milano, opera riconosciuta di Giulio, individuò un stretto rapporto fra i due, assegnando il quadro dell'Estense al pittore cremonese e ipotizzando una datazione intorno agli anni '40 del Cinquecento. Ritratto maschile a busto intero; il soggetto indossa una veste scura con colletto e bordi delle maniche bianchi, è inquadrato di tre quarti da sinistra, gli occhi guardano diretti e seri verso l'osservatore; il fondo è neutro."
Apollo musico,Scarsella Ippolito detto Scarsellino (Ferrara  1550 ca. - 1620),20,020.png,,,,020.mp3,descrizione non disponibile
Ritratto del duca Francesco II d'Este,Autore sconosciuto,16,021.png,,,,021.mp3,"Nel 1674 Francesco II prese il potere a soli 14 anni. poco incline agli affari di governo, impresse un segno profondo soprattutto come mecenate in campo musicale, lasciando un patrimonio ineguagliato di partiture, testi e manoscritti nella biblioteca estense, rifondata a Modena per volere dello stesso duca. Riorganizzò inoltre parte delle collezioni d'arte di famiglia in una nuova galleria di disegni, medaglie, oggetti e sculture, da allora sempre ammiratissima dai visitatori del palazzo ducale di Modena."
I santi Pietro e Paolo,Da Ponte Jacopo detto Bassano (Bassano del Grappa  1510 ca. - 1592),19,022.png,,,,022.mp3,Descrizione non disponibile
Redentore benedicente,Bastiani Lazzaro (Venezia  1449 ca. - 1512),9,023.png,,,,023.mp3,"Attribuito in passato ai maggiori nomi della pittura a Venezia, da Cima da Conegliano allo stesso Antonello, poi classificato come opera di Benedetto Diana nel catalogo dei dipinti della Galleria nel 1945, il dipinto è stato più convincentemente riferito a Lazzaro Bastiani, pittore veneziano contemporaneo di Giovanni Bellini, di cui fu seguace nella seconda metà della sua lunga carriera. Sono infatti caratteristiche di Bastiani la durezza ancora vivariniana e mantegnesca del panneggio e il minuzioso e solare paesaggio d’ispirazione fiamminga, animato da vivaci figurine."
Il giudizio di Mida,Robusti Jacopo detto Tintoretto (Venezia  1518 - 1594),19,024.png,,,,024.mp3,"Tintoretto dipinse il ciclo di sedici soggetti dalle Metamorfosi di Ovidio a partire dal 1541, su commissione del conte Vettore Pisani, banchiere veneziano che, in occasione del matrimonio con Paolina Foscari, del 1542, volle decorare il soffitto della sua stanza da letto nel Palazzo San Paterniano a Venezia. Nel 1658 gli eredi del conte vendettero al duca Francesco I d’Este le tavole che furono poi inserite nel soffitto ligneo della seconda camera da parata del Palazzo Ducale di Modena. In questo passaggio andarono perdute due tavole. E’ la prima importante impresa decorativa del giovane Tintoretto che per i soggetti utilizzò la versione in volgare delle Metamorfosi di Niccolò degli Agostini, edita a Venezia nel 1522. I gesti, gli scorci arditi, la luce drammatica, i colori accesi caratterizzano questi dipinti che, nelle anatomie e nelle pose mostrano l’influsso dello stile di Michelangelo ma anche di Giulio Romano e dei suoi affreschi nel Palazzo Te a Mantova, dove Tintoretto potrebbe essersi recato intorno a 1540."
Ritratti ideali di Matilde di Canossa e Aldobrandino d'Este,Cervi Bernardino (1586 ca. - Modena  1630),20,025.png,,,,025.mp3,"Sei coppie di ritratti ideali (invv. 2946-2951) presentano in sequenza cronologica personaggi illustri legati alla dinastia estense: da antenati mitici in costume imperiale romano, a figure storiche di eccezionale rilievo come Matilde di Canossa. Il duca Cesare d’Este ne commissionò almeno tredici coppie a Bernardino Cervi e collaboratori per il castello della nuova capitale Modena. È evidente il riferimento ai perduti cicli di ritratti già eseguiti per la dimora estense di Copparo (1545) e il castello di Ferrara (1577)."
Madonna col Bambino e i santi Sebastiano e Giorgio,Luteri Giovanni di Niccolò detto Dosso Dossi (Tramuschio (Mirandola)  1487 ca. - Ferrara  1542),13,026.png,,,,026.mp3,Descrizione non disponibile
Ritratto di giovane,Giarola Antonio (Verona  1595 - 1665),16,027.png,,,,027.mp3,"Questo bel ritratto ha una lunga storia nella quale si sono intrecciate le più disparate ipotesi di attribuzione. Pennellate veloci e uno sguardo vispo e penetrante possono suggerire rimandi al mondo caravaggesco, ma a prevalere sono una sintesi e una regolarizzazione delle forme più consone ai canoni della ritrattistica emiliana. È stato perciò riconosciuto come opera di Antonio Giarola, pittore veronese che studiò a Roma per poi essere a lungo attivo fra Bologna e Modena."
Madonna in trono col Bambino  angeli musicanti e i santi Giovanni Battista  Contardo d'Este e Lucia,Tisi Benvenuto detto Garofalo (Ferrara  1481 ca. - 1559),15,028.png,,,,028.mp3,"Nella monumentale raffigurazione della Vergine in trono, circondata da angeli musicanti e santi, di evidente ispirazione raffaellesca, spicca la rara figura di Contardo d’Este, identificabile per la sigla CE visibile sulla sua manica. Figlio del duca di Ferrara Aldobrandino, Contardo è raffigurato nell’atto della rinuncia al potere: le vesti da pellegrino e la corona ai suoi piedi sono un chiaro simbolo della sua scelta di umiltà."
Madonna col Bambino  santi e donatori,Catena Vincenzo (attr.) (Venezia  1480 ca. - 1531),9,029.png,,,,029.mp3,Descrizione non disponibile
Ritratti ideali di Alforisio e Acarino d'Este,Cervi Bernardino (1586 ca. - Modena  1630),20,030.png,,,,030.mp3,"Sei coppie di ritratti ideali (invv. 2946-2951) presentano in sequenza cronologica personaggi illustri legati alla dinastia estense: da antenati mitici in costume imperiale romano, a figure storiche di eccezionale rilievo come Matilde di Canossa. Il duca Cesare d’Este ne commissionò almeno tredici coppie a Bernardino Cervi e collaboratori per il castello della nuova capitale Modena. È evidente il riferimento ai perduti cicli di ritratti già eseguiti per la dimora estense di Copparo (1545) e il castello di Ferrara (1577)."
Flora,Cignani Carlo (Bologna  1628 - Forlì 1719),22,031.png,,,,031.mp3,"Cosparsa di fiori, presenza sensuale ma al tempo stesso idealizzata, la giovane Flora è un magnifico prototipo di grazia femminile che evoca la mitica regione dell’Arcadia. Muovendo dall’impostazione classicista del suo maestro Francesco Albani, Cignani risale all’antica lezione del Correggio, preludendo a uno stile e un timbro che avrà grande fortuna presso le corti d’Europa per tutto il Settecento, fino ad artiste come Angelika Kaufmann o Élisabeth Vigée Le Brun."
Madonna col Bambino e san Giovannino,Cianfanini Giovanni (attr.) (Attivo fra il 1462 e il 1542 ca. a Firenze),8,032.png,,,,032.mp3,Descrizione non disponibile
Tancredi battezza Clorinda,Badalocchio Sisto (Parma  1585 - post 1620),21,033.png,,,,033.mp3,"L’eroe cristiano Tancredi riconosce la sua amata Clorinda sotto l’armatura del nemico che ha appena colpito a morte. Lei, musulmana, come ultima volontà chiede di ricevere il battesimo cristiano, e porge a Tancredi la mano in segno di pace. È l’epilogo di uno dei passi più celebri della 'Gerusalemme liberata' di Torquato Tasso, l’ultimo poema epico classico della tradizione occidentale, che ebbe una fortuna ininterrotta per tutta l’età moderna tanto in ambito letterario quanto nelle arti figurative."
Plutone,Carracci Agostino (Bologna  1557 - Parma  1602),20,034.png,,,,034.mp3,"La tela con Plutone faceva parte di cinque ovali raffiguranti personaggi mitologici, commissionati ad Annibale, Agostino e Ludovico Carracci da Cesare d’Este. Nel 1591 Cesare, non ancora duca, intraprese la ristrutturazione di alcuni ambienti del Palazzo dei Diamanti a Ferrara, comprendenti le camere della consorte Virginia de’ Medici e l’antistante camera del Poggiolo. La ristrutturazione coincideva con l’imminente arrivo di un erede, il futuro Alfonso III d’Este.
Gli ovali, destinati presumibilmente alla stanza del poggiolo, raffiguravano Flora, Galatea (o Salacia), Venere, Plutone ed Eolo, oggi disperso. Le tele arrivarono a Palazzo nel 1592 e qui rimasero fino al 1630, quando per volere di Francesco I d’Este le opere superstiti a Ferrara furono recuperate e collocate nel Palazzo Ducale di Modena. Nel 1796 in seguito alle requisizioni napoleoniche furono trasferite in Francia, ma dopo la Restaurazione nel 1815 furono restituite agli estensi.
Sebbene siano individuabili i caratteri stilistici dei tre artisti, gli ovali sono accomunati dalla costruzione spaziale dello scorcio in sottoinsù, dalla posizione sdraiata dei corpi, dalle loro forme energiche e ben tornite (che rimandano al disegno michelangiolesco) e da un’atmosfera correggesca."
Ritratto di Quaranta Malvasia,Sabatini Lorenzo (Bologna  1530 ca. - Roma  1576),16,035.png,,,,035.mp3,descrizione non disponibile
La buona ventura,Spada Leonello (Bologna  1576 - Parma  1622),21,036.png,,,,036.mp3,"Un giovanotto elegante e sprovveduto, ignorando l’avvertimento dell’amico, si fa leggere la mano da una zingara finendo così per essere derubato dal figlioletto di questa. La “buona ventura” è un soggetto forse ispirato anche a scene teatrali ma certamente basato sull’osservazione della vita quotidiana di strada. In pittura si diffuse a seguito di due celebri versioni di Caravaggio eseguite a Roma. Leonello Spada fu a lungo affascinato dal maestro lombardo, tanto da venire soprannominato ai suoi tempi “scimmia del Caravaggio”."
Venere e Amore,Carracci Annibale (Bologna  1560 - Roma  1609),20,037.png,,,,037.mp3,"La tela con Venere e Cupido faceva parte di cinque ovali raffiguranti personaggi mitologici, commissionati ad Annibale, Agostino e Ludovico Carracci da Cesare d’Este. Nel 1591 Cesare, non ancora duca, intraprese la ristrutturazione di alcuni ambienti del Palazzo dei Diamanti a Ferrara, comprendenti le camere della consorte Virginia de’ Medici e l’antistante camera del Poggiolo. La ristrutturazione coincideva con l’imminente arrivo di un erede, il futuro Alfonso III d’Este.
Gli ovali, destinati presumibilmente alla stanza del poggiolo, raffiguravano Flora, Galatea (o Salacia), Venere, Plutone ed Eolo, oggi disperso. Le tele arrivarono a Palazzo nel 1592 e qui rimasero fino al 1630, quando per volere di Francesco I d’Este le opere superstiti a Ferrara furono recuperate e collocate nel Palazzo Ducale di Modena. Nel 1796 in seguito alle requisizioni napoleoniche furono trasferite in Francia, ma dopo la Restaurazione nel 1815 furono restituite agli estensi.
Sebbene siano individuabili i caratteri stilistici dei tre artisti, gli ovali sono accomunati dalla costruzione spaziale dello scorcio in sottoinsù, dalla posizione sdraiata dei corpi, dalle loro forme energiche e ben tornite (che rimandano al disegno michelangiolesco) e da un’atmosfera correggesca."
Strage dei figli di Niobe,Robusti Jacopo detto Tintoretto (Venezia  1518 - 1594),19,038.png,,,,038.mp3,"Tintoretto dipinse il ciclo di sedici soggetti dalle Metamorfosi di Ovidio a partire dal 1541, su commissione del conte Vettore Pisani, banchiere veneziano che, in occasione del matrimonio con Paolina Foscari, del 1542, volle decorare il soffitto della sua stanza da letto nel Palazzo San Paterniano a Venezia. Nel 1658 gli eredi del conte vendettero al duca Francesco I d’Este le tavole che furono poi inserite nel soffitto ligneo della seconda camera da parata del Palazzo Ducale di Modena. In questo passaggio andarono perdute due tavole. E’ la prima importante impresa decorativa del giovane Tintoretto che per i soggetti utilizzò la versione in volgare delle Metamorfosi di Niccolò degli Agostini, edita a Venezia nel 1522. I gesti, gli scorci arditi, la luce drammatica, i colori accesi caratterizzano questi dipinti che, nelle anatomie e nelle pose mostrano l’influsso dello stile di Michelangelo ma anche di Giulio Romano e dei suoi affreschi nel Palazzo Te a Mantova, dove Tintoretto potrebbe essersi recato intorno a 1540."
Madonna col Bambino e santi,Barnaba Agocchiari detto Barnaba da Modena (doc. 1361 - 1383),3,039.png,Crocifissione,,,039.mp3,"Opera firmata di Barnaba da Modena, il dipinto è stato acquistato per la Galleria dall’Accademia di belle arti nel 1862, quando si trovava nella collezione Puccini di Pistoia. Il dipinto costituisce la parte centrale di un altarolo domestico, una tipologia di oggetto molto richiesta alle botteghe artistiche del Trecento. Di raffinatissima esecuzione, la tenera immagine della Madonna col Bambino fra i santi Giovanni Battista e Caterina d’Alessandria, sormontata dalla raffigurazione della Crocefissione, corrisponde perfettamente alle finalità di devozione privata cui l’opera era destinata. Per i forti legami che esso mostra con la contemporanea pittura bolognese e in particolare con l’opera di Vitale da Bologna, l’altarolo di Modena dovrebbe spettare al periodo giovanile di Barnaba, antecedente al suo trasferimento a Genova, dove è documentato nel 1361."
Ritratto del duca Alfonso IV D'Este,Suttermans Justus (Anversa  1597 - Firenze  1681),16,040.png,,,,040.mp3,"Questo dipinto è un prezioso testimone dell’attività di Suttermans per i duchi d’Este. Il pittore fiammingo era ritrattista ufficiale dei Medici a Firenze, ma soggiornò in più occasioni anche alla corte di Modena eseguendo numerosi ritratti, in massima parte oggi dispersi. Qui il futuro duca Alfonso IV è colto nei suoi anni più felici, quando ancora era in vita il padre, Francesco I d’Este, con cui condivise la sfrenata passione per il collezionismo d’arte. Divenuto duca egli stesso nel 1658, morì solo quattro anni più tardi."
Adorazione dei pastori,Boccaccino Boccaccio (Ferrara  1466/67 - Cremona  1524/25),9,041.png,,,,041.mp3,"Il dipinto, concordemente ritenuto una delle opere migliori del pittore di origine cremonese Boccaccio Boccaccino, è generalmente datato attorno al 1501, periodo in cui l'artista, muovendosi fra Ferrara e Venezia, mostra di seguire l'esempio del giovane Giorgione, particolarmente evidente nel paesaggio di sfondo, che richiama quello della Pala di Castelfranco. Con originale scelta iconografica Boccaccino dispone i personaggi dell'Adorazione in un ambiente naturale instaurando fra di loro un silenzioso dialogo fatto di sguardi e gesti che, soprattutto nella figura del pastore anziano, guarda anche agli studi di Leonardo sull'espressività del volto e sulla mimica."
Madonna col Bambino,Montagna Bartolomeo (Orzinuovi  1449 ca. - Vicenza  1523),9,042.png,,,,042.mp3,"Nella Madonna con Bambino di Bartolomeo Montagna del 1503 è evidente l’influenza del Mantegna nella plasticità dei personaggi e, nella dolcezza e delicatezza dei tratti ,quella del Bellini  che ispirò quasi tutta la sua arte."
Martirio di san Pietro martire,Ferrari Luca detto Luca da Reggio (Reggio Emilia  1599 - Padova  1654),21,043.png,,,,043.mp3,"L’opera trae spunto da una celeberrima pala d’altare di Tiziano, il Martirio di san Pietro da Verona, dipinta nel 1528-1530 per la basilica dei Ss. Giovanni e Paolo a Venezia. Quel capolavoro di ardite soluzioni compositive, oggi noto da numerose copie, esercitò infatti enorme influenza sulla pittura moderna prima di finire distrutto da un incendio nell’Ottocento. Questa versione di Ferrari offre un insieme di energico dinamismo che si può confrontare con la pala del Martirio di san Pietro del Guercino (inv. 466), dipinta alcuni anni prima."
La Regina Tomiri fa immergere nel sangue la testa di Ciro,Ferrari Luca detto Luca da Reggio (Reggio Emilia  1599 - Padova  1654),21,044.png,,,,044.mp3,"Questo macabro soggetto illustra la vendetta di Tomiri, regina dei Massageti, per la morte di suo figlio causata da Ciro re dei Persiani. Dopo la vittoria in battaglia, Tomiri oltraggiò il cadavere di Ciro decapitandolo e immergendone la testa in un otre pieno di sangue, esclamando: “ora saziati del sangue di cui fosti sempre assetato”. L’acceso contrasto tra la leggiadra figura femminile e il gesto efferato dei soldati, dà vita al tema storico nel tipico formato seicentesco di quadro “da stanza”, destinato alla dimora di una committenza colta."
Ritratto di Maria Beatrice d'Este Stuart (Maria di Modena) con un paggio,Pittore francese (1675 - 1680 ca.),16,045.png,,,,045.mp3,"Come il pendant di suo fratello, il duca Francesco II (inv. 399), questo ritratto di Maria Beatrice d’Este si deve alla mano di un pittore probabilmente di scuola francese. La corte di Modena nel tardo Seicento era un ambiente assai influenzato dal gusto e dalla cultura di Francia, ma in generale aperto a continui scambi internazionali con le altre corti d’Europa. Non a caso Maria nel 1685 divenne moglie di Giacomo II Stuart e dunque fu, anche se solo per tre anni, regina d’Inghilterra, Scozia e Irlanda."
Gesù crocifisso,Reni Guido (Bologna  1575 - 1642),20,046.png,,,,046.mp3,"Guido Reni lavorò a lungo sulla figura del Cristo crocifisso con lo sguardo rivolto al cielo, stabilendo un’iconografia – spesso adottata nel solo dettaglio della testa – che ebbe enorme fortuna. In questa versione l’artista giunse a un esito eccezionale: la figura dolente e idealizzata si staglia nella luce argentea offrendo una visione in cui “par bella la morte istessa”, come scrisse Luigi Lanzi nella fondamentale ""Storia pittorica della Italia"". L’opera fu tra le preferite dal duca Ercole III, che la requisì per il proprio appartamento privato."
